HOUSE DISTRICT 1 ,2661,2661
HOUSE DISTRICT 10 ,1731,4524
HOUSE DISTRICT 11 ,2217,5739
HOUSE DISTRICT 12 ,1993,6099
HOUSE DISTRICT 13 ,1346,3328
HOUSE DISTRICT 14 ,2814,5485
HOUSE DISTRICT 15  ,1139,1380
HOUSE DISTRICT 16  ,3249,2618
HOUSE DISTRICT 17 ,3171,2148
HOUSE DISTRICT 18  ,3771,2034
HOUSE DISTRICT 19 ,2531,0
HOUSE DISTRICT 2 ,1186,2340
HOUSE DISTRICT 20 ,3738,1662
HOUSE DISTRICT 21 ,4058,3364
HOUSE DISTRICT 22 ,860,3478
HOUSE DISTRICT 23 ,2973,2605
HOUSE DISTRICT 24 ,3224,4933
HOUSE DISTRICT 25 ,3356,3637
HOUSE DISTRICT 26 ,2886,4826
HOUSE DISTRICT 27 ,3686,3867
HOUSE DISTRICT 28 ,4628,5557
HOUSE DISTRICT 29 ,2487,5550
HOUSE DISTRICT 3 ,0,4854
HOUSE DISTRICT 30 ,0,6187
HOUSE DISTRICT 31 ,4236,5243
HOUSE DISTRICT 32 ,2072,3261
HOUSE DISTRICT 33 ,5073,0
HOUSE DISTRICT 34 ,4650,4110
HOUSE DISTRICT 35 ,4480,3367
HOUSE DISTRICT 36 ,0,2793
HOUSE DISTRICT 37 ,2911,1588
HOUSE DISTRICT 38 ,2843,2252
HOUSE DISTRICT 39 ,4963,0
HOUSE DISTRICT 4 ,4356,3650
HOUSE DISTRICT 40 ,2404,0
HOUSE DISTRICT 5 ,3484,3057
HOUSE DISTRICT 6 ,2722,4001
HOUSE DISTRICT 7 ,0,5705
HOUSE DISTRICT 8 ,1184,5126
HOUSE DISTRICT 9  ,1962,5209
